Disaster Type,Country,Year,Month,Total Deaths
Extreme temperature,WORLD,2020,1,3.0
Flood,WORLD,2020,1,171.0
Storm,WORLD,2020,1,162.0
Volcanic activity,WORLD,2020,1,0.0
Earthquake,WORLD,2020,2,9.0
Flood,WORLD,2020,2,105.0
Landslide,WORLD,2020,2,78.0
Storm,WORLD,2020,2,9.0
Earthquake,WORLD,2020,3,1.0
Flood,WORLD,2020,3,617.0
Storm,WORLD,2020,3,36.0
Wildfire,WORLD,2020,3,19.0
Flood,WORLD,2020,4,200.0
Landslide,WORLD,2020,4,10.0
Storm,WORLD,2020,4,79.0
Earthquake,WORLD,2020,5,4.0
Flood,WORLD,2020,5,325.0
Landslide,WORLD,2020,5,43.0
Storm,WORLD,2020,5,187.0
Drought,WORLD,2020,6,0.0
Earthquake,WORLD,2020,6,11.0
Extreme temperature,WORLD,2020,6,2556.0
Flood,WORLD,2020,6,3069.0
Landslide,WORLD,2020,6,25.0
Storm,WORLD,2020,6,19.0
Extreme temperature,WORLD,2020,7,1924.0
Flood,WORLD,2020,7,156.0
Landslide,WORLD,2020,7,172.0
Storm,WORLD,2020,7,25.0
Earthquake,WORLD,2020,8,1.0
Extreme temperature,WORLD,2020,8,1860.0
Flood,WORLD,2020,8,816.0
Landslide,WORLD,2020,8,73.0
Storm,WORLD,2020,8,112.0
Wildfire,WORLD,2020,8,32.0
Drought,WORLD,2020,9,0.0
Flood,WORLD,2020,9,55.0
Landslide,WORLD,2020,9,11.0
Storm,WORLD,2020,9,20.0
Volcanic activity,WORLD,2020,9,0.0
Wildfire,WORLD,2020,9,14.0
Earthquake,WORLD,2020,10,117.0
Flood,WORLD,2020,10,67.0
Landslide,WORLD,2020,10,58.0
Storm,WORLD,2020,10,452.0
Wildfire,WORLD,2020,10,0.0
Flood,WORLD,2020,11,82.0
Landslide,WORLD,2020,11,18.0
Storm,WORLD,2020,11,613.0
Volcanic activity,WORLD,2020,11,0.0
Earthquake,WORLD,2020,12,7.0
Flood,WORLD,2020,12,54.0
Landslide,WORLD,2020,12,44.0
Storm,WORLD,2020,12,15.0
Volcanic activity,WORLD,2020,12,0.0
