Country,Year,Month,Sector,Value
France,2019.0,3.0,Industry,0.14
France,2019.0,3.0,International Aviation,0.051
France,2019.0,3.0,Power,0.122
France,2019.0,3.0,Residential,0.411
Germany,2019.0,3.0,Domestic Aviation,0.005
Germany,2019.0,3.0,Ground Transport,0.377
Germany,2019.0,3.0,Industry,0.357
Germany,2019.0,3.0,International Aviation,0.07
Germany,2019.0,3.0,Power,0.983
Germany,2019.0,3.0,Residential,0.78
India,2019.0,3.0,Domestic Aviation,0.02
India,2019.0,3.0,Ground Transport,0.842
India,2019.0,3.0,Industry,2.114
India,2019.0,3.0,International Aviation,0.035
India,2019.0,3.0,Power,3.428
India,2019.0,3.0,Residential,1.591
Italy,2019.0,3.0,Domestic Aviation,0.005
Italy,2019.0,3.0,Ground Transport,0.237
Italy,2019.0,3.0,Industry,0.109
Italy,2019.0,3.0,International Aviation,0.033
Italy,2019.0,3.0,Power,0.255
Italy,2019.0,3.0,Residential,0.455
Japan,2019.0,3.0,Domestic Aviation,0.026
Japan,2019.0,3.0,Ground Transport,0.494
Japan,2019.0,3.0,Industry,0.525
Japan,2019.0,3.0,International Aviation,0.05
Japan,2019.0,3.0,Power,1.314
Japan,2019.0,3.0,Residential,0.642
ROW,2019.0,3.0,Domestic Aviation,0.192
ROW,2019.0,3.0,Ground Transport,5.762
ROW,2019.0,3.0,Industry,9.255
ROW,2019.0,3.0,International Aviation,0.779
ROW,2019.0,3.0,Power,9.692
ROW,2019.0,3.0,Residential,5.257
Russia,2019.0,3.0,Domestic Aviation,0.038
Russia,2019.0,3.0,Ground Transport,0.512
Russia,2019.0,3.0,Industry,0.617
Russia,2019.0,3.0,International Aviation,0.033
Russia,2019.0,3.0,Power,3.07
Russia,2019.0,3.0,Residential,0.84
Spain,2019.0,3.0,Domestic Aviation,0.015
Spain,2019.0,3.0,Ground Transport,0.25
Spain,2019.0,3.0,Industry,0.185
Spain,2019.0,3.0,International Aviation,0.058
Spain,2019.0,3.0,Power,0.189
Spain,2019.0,3.0,Residential,0.176
United Kingdom,2019.0,3.0,Domestic Aviation,0.007
United Kingdom,2019.0,3.0,Ground Transport,0.299
United Kingdom,2019.0,3.0,Industry,0.208
United Kingdom,2019.0,3.0,International Aviation,0.09
United Kingdom,2019.0,3.0,Power,0.43
United Kingdom,2019.0,3.0,Residential,0.383
United States,2019.0,3.0,Domestic Aviation,0.499
United States,2019.0,3.0,Ground Transport,4.448
United States,2019.0,3.0,Industry,2.939
United States,2019.0,3.0,International Aviation,0.219
United States,2019.0,3.0,Power,4.454
United States,2019.0,3.0,Residential,2.985
WORLD,2019.0,3.0,Domestic Aviation,1.012
WORLD,2019.0,3.0,Ground Transport,17.351
WORLD,2019.0,3.0,Industry,27.344
WORLD,2019.0,3.0,International Aviation,1.668
WORLD,2019.0,3.0,Power,39.769
WORLD,2019.0,3.0,Residential,18.552
Brazil,2019.0,4.0,Domestic Aviation,0.033
Brazil,2019.0,4.0,Ground Transport,0.443
Brazil,2019.0,4.0,Industry,0.246
Brazil,2019.0,4.0,International Aviation,0.021
Brazil,2019.0,4.0,Power,0.11
Brazil,2019.0,4.0,Residential,0.098
China,2019.0,4.0,Domestic Aviation,0.164
China,2019.0,4.0,Ground Transport,2.574
China,2019.0,4.0,Industry,10.267
China,2019.0,4.0,International Aviation,0.079
China,2019.0,4.0,Power,14.609
China,2019.0,4.0,Residential,3.826
France,2019.0,4.0,Domestic Aviation,0.006
France,2019.0,4.0,Ground Transport,0.311
France,2019.0,4.0,Industry,0.162
France,2019.0,4.0,International Aviation,0.051
France,2019.0,4.0,Power,0.141
France,2019.0,4.0,Residential,0.423
Germany,2019.0,4.0,Domestic Aviation,0.005
Germany,2019.0,4.0,Ground Transport,0.382
Germany,2019.0,4.0,Industry,0.316
Germany,2019.0,4.0,International Aviation,0.072
Germany,2019.0,4.0,Power,0.871
Germany,2019.0,4.0,Residential,0.719
India,2019.0,4.0,Domestic Aviation,0.02
India,2019.0,4.0,Ground Transport,0.842
India,2019.0,4.0,Industry,2.134
India,2019.0,4.0,International Aviation,0.038
India,2019.0,4.0,Power,3.461
India,2019.0,4.0,Residential,1.602
Italy,2019.0,4.0,Domestic Aviation,0.005
Italy,2019.0,4.0,Ground Transport,0.242
Italy,2019.0,4.0,Industry,0.125
Italy,2019.0,4.0,International Aviation,0.036
Italy,2019.0,4.0,Power,0.292
Italy,2019.0,4.0,Residential,0.503
Japan,2019.0,4.0,Domestic Aviation,0.026
